code,name,article_date,article_url,article_title,blog_price,blog_pbr,blog_per,blog_yield,category,judgement,yutai,shareholder_return,price,per,pbr,yield,comment,per_avg_1y,per_avg_2y,per_vs_1y,per_pctl_2y,per_min_2y,per_max_2y
1301,極洋,2026-07-15,https://boutetsuya.livedoor.blog/archives/30444737.html,1301極洋 2026,4540.0,0.7,7.5,3.52,準主力,割安,100株 自社製品2500円相当,27年３月期までにDOE3%,4605.0,7.9918776,0.69139767,3.48,下は4200円あたりが堅い。 前期下方修正が効いて株価は少し重そう。 四半期決算が順調に進めば5000円超えをめざしていきそう。,8.133321888103682,7.561858153092873,-1.7390715632510156,70.84188911704312,6.150709681845989,9.167085377207096
1332,ニッスイ,2026-07-16,https://boutetsuya.livedoor.blog/archives/30451586.html,1332ニッスイ 2026,1245.0,1.26,13.0,2.57,監視銘柄,やや割高,500株 自社製品3000円相当,３年間の総還元性向40%以上,1258.0,13.952971,1.2483861,2.56,業績に勢いがあり、PERなど指標は高めで推移しそう。 下は1100円で止まりそうで、上は1400円がやや重そう。,13.501563602508662,11.478329006985104,3.3433712626251832,77.82340862422998,8.595393427825927,17.07761864382522
1333,マルハニチロ,2025-07-04,https://boutetsuya.livedoor.blog/archives/28031453.html,1333マルハニチロ 2025,3079.0,0.68,8.9,3.57,監視銘柄,,なし,配当性向30%以上 累進配当,1278.0,8.711657,0.7793856,3.55,３年間は企業改革費用が重く営業益が重そうで しばらく2800～3400円のレンジ内で推移しそう。,8.704945986787303,7.6923266291328884,0.0770942544949138,75.15400410677618,6.217630130821026,10.606294881301046
1375,ユキグニファクトリー,2025-07-08,https://boutetsuya.livedoor.blog/archives/28052035.html,1375ユキグニファクトリー 2025,1100.0,3.55,21.8,1.45,分散枠,,100株 自社製品3000円相当,配当性向30%以上,1133.0,15.275719,3.295214,1.79,上場からの下落で現在でも高値の半値以下。 下げは1000円までで、優秀な株主優待が下支えとなりそう。 上は1200円が重く、1200円突破は来年以降か。,14.332757692276356,14.29986253580579,6.579064043144944,87.88501026694045,12.853062562973575,16.23297941394528
1417,ミライト・ワン,2026-07-18,https://boutetsuya.livedoor.blog/archives/30463350.html,1417ミライト・ワン 2026,3760.0,1.18,13.0,2.53,分散枠,やや割高,100株 クオカード1000円（１年）,総還元性向50～70%,3468.0,13.255868,1.1059499,2.89,PERや利回りの指標で見ると割高だが、 成長率まで考慮した場合は妥当～やや割高といったところ。 下は3000円、上は4500円あたりまで。,13.253534226908096,10.824614208781515,0.01760868498883461,69.60985626283367,6.90393134261307,15.981194956170704
1419,タマホーム,2024-07-23,https://boutetsuya.livedoor.blog/archives/25098086.html,1419タマホーム 2024,4535.0,3.43,14.3,4.3,監視銘柄,,100株 クオカード500円 or 1000円（３年）,経営成績に応じて継続的におこなう,2928.0,69.88067,2.8608081,4.44,3900円の壁がしっかり機能し、決算を期に再び高値へ。 PERは高い位置で配当性向も50%を超えておりそろそろ天井か。 下は前回機能した3900円、割れれば3500円、最悪3000円と そこそこの下値リスクあり。,82.10927023142068,81.45403743161201,-14.89308113073593,6.365503080082135,64.58234051229508,93.92471147058038
1429,日本アクア,2026-07-19,https://boutetsuya.livedoor.blog/archives/30470180.html,1429日本アクア 2025,732.0,2.17,12.0,4.78,監視銘柄,割安,なし,配当性向50% 累進配当,810.0,13.62948,2.3095543,4.47,下は700円弱のあたりが鉄壁。利回りの下支えも強く効きそう。 上も800円から重く、900円突破には業績の改善が必要。,13.506106362875682,13.012631194176944,0.9134656118467532,69.81519507186859,10.865724333333333,15.564529629629629
1438,岐阜造園,2026-07-20,https://boutetsuya.livedoor.blog/archives/30472922.html,1438岐阜造園 2025,1871.0,1.35,13.0,2.14,分散枠,やや割安,200株 クオカード1000円,配当性向25～35%,2143.0,13.927341,1.5459964,1.86,下は1700円が機能しており、割れると1500円まで。 上は2000円重いが、そろそろ業績で殴り突破しそう。 板が薄く上に飛べば青天井の可能性も。,12.14733700938572,12.106013883270293,14.653450293170845,99.17864476386036,11.127139952032804,14.340974266753426
1450,ＴＡＮＡＫＥＮ,2025-07-14,https://boutetsuya.livedoor.blog/archives/28095116.html,1450ＴＡＮＡＫＥＮ 2025,1398.0,1.48,10.1,3.93,監視銘柄,,なし,継続的かつ安定的な利益還元,1451.0,8.40088,1.3682265,3.77,20年高値で１度跳ね返された株価だが、 上方修正があれば一気に超えていきそう。 下は1200円まで。,8.156465153165026,7.472833943931841,2.9965780794163344,88.29568788501027,5.521278657364534,9.102369429993056
1451,ＫＨＣ,2022-10-22,https://boutetsuya.livedoor.blog/archives/16252252.html,1451ＫＨＣ 2022,606.0,,,5.45,値上がり目的,,なし,,,,,,,,,,,,
146A,コロンビア・ワークス,2026-07-21,https://boutetsuya.livedoor.blog/archives/30479964.html,146Aコロンビア・ワークス 2025,3210.0,1.41,5.8,2.93,分散枠,割安,なし,配当性向15～20%,3305.0,6.65539,1.4607574,2.87,業績は好調で、それを加味すればかなりの割安。 3000円以下はかなり堅そうで、最悪2500円まで。 上は3500円から重くなりそうだが、上方修正など出れば 内容によって再び5000円を目指していきそう。,6.94513694866484,5.42430943535695,-4.171940032378229,71.66324435318275,2.830572920019753,9.152419833585476
156A,マテリアルグループ,2026-07-22,https://boutetsuya.livedoor.blog/archives/30489402.html,156Aマテリアルグループ 2025,861.0,3.49,13.3,3.03,監視銘柄,妥当,なし,配当性向33%目途,834.0,12.958359,3.3780363,3.18,通期予想上振れでPER若干高めでも妥当な位置。 下は770円から堅く、上は1000円が強く意識されそう。,12.715250701701425,11.625380237302238,1.911942627022234,77.61806981519507,8.395079279823577,15.055935097122301
160A,アズパートナーズ,2026-07-23,https://boutetsuya.livedoor.blog/archives/30495165.html,160Aアズパートナーズ 2026,2035.0,1.41,5.6,3.93,分散枠,割安,100株 価値なし,配当性向20%以上かつDOE5%以上,2065.0,6.3057284,1.4324223,3.86,業績好調の高配当株と考えれば下は1900円ほどまで。 上は2500円が意識され、突破すれば2900円まであり。,7.363799533166355,6.649848552604577,-14.368548850370399,48.25462012320328,4.808271107934203,10.284439912821437
166A,タスキホールディングス,2026-07-25,https://boutetsuya.livedoor.blog/archives/30506327.html,166Aタスキホールディングス 2025,1077.0,2.09,11.5,4.64,監視銘柄,妥当,なし,配当性向40%以上 累進配当,1117.0,12.235732,2.1353428,3.58,株価は大きく上がっているが、業績や利回りを考慮すれば 現在の株価は妥当な範囲。 利回りの下支え大きく、業績が計画通りなら下は1000円まで。 上は前回高値の1237円がしばらく意識されそう。,9.186417095941698,8.099282085637972,33.19373453449445,96.30390143737166,5.826510553148999,13.45163732855864
1721,コムシスホールディングス,2025-07-20,https://boutetsuya.livedoor.blog/archives/28134337.html,1721コムシスホールディングス 2025,3424.0,1.07,12.9,3.5,監視銘柄,,なし,総還元性向70% 累進配当,5306.0,17.13935,1.539301,2.56,長らく重しになっている3500円はそろそろ突破か。 増配をずっと続けており3000円ラインはすでに鉄壁。 3500円突破後は4200円あたりで天井をつけそう。,15.255159893417975,12.635994813587665,12.351165898923044,84.59958932238193,9.151305060856629,19.067769138710894
1723,日本電技,2026-07-28,https://boutetsuya.livedoor.blog/archives/30526065.html,1723日本電技 2026,2192.0,2.98,16.1,2.55,監視銘柄,やや割高,なし,配当性向40%以上またはDOE7%以上で累進配当,2150.0,16.223967,2.9100456,3.4,指標的に割高だが、ＡＩの追い風考慮でやや割高判定。 下は2000円の壁が機能しているが、割れれば1500円。 上は2500円が結構重く、超えても勢いは無さそう。,15.413656446352912,11.003941957258496,5.257094943483165,72.48459958932239,4.768527032151447,22.750405182165355
1726,ビーアールホールディングス,2024-07-29,https://boutetsuya.livedoor.blog/archives/25152455.html,1726ビーアールホールディングス 2024,366.0,1.14,10.6,4.1,値上がり目的,,なし,配当性向40% DOE4%,,,,,業績の進捗が予想通りなら安い位置であり 上値も700円までとかなり大きくありそう。 DOE採用で株価300円で利回り５％となり、この壁は厚そう。,,,,,,
1736,オーテック,2026-07-29,https://boutetsuya.livedoor.blog/archives/30532541.html,1736オーテック 2026,2432.0,1.42,9.9,4.03,監視銘柄,妥当,,配当性向40%以上、またはDOE4.8%以上,2323.0,9.928623,1.3530326,4.33,ここ１年で株価急騰も、指標的には妥当。 下に振れれば2250円、2200円、1800円と段階的に節目あり。 上は長く叩き落されているが、そろそろ3000円を目指しそう。,9.508077202114329,7.308601644268966,4.423037265538321,74.33264887063655,4.374008141918115,11.660168178002268
173A,ハンモック,2026-07-30,https://boutetsuya.livedoor.blog/archives/30536933.html,173Aハンモック 2026,1521.0,2.0,11.0,2.96,分散枠,妥当,,記載なし,1508.0,9.402668,1.9777049,3.09,上は1600円が重いが、抜ける可能性高く抜ければ1800円まで。 下は1350円が壁となっており、その下は堅そう。,9.1041202749989,8.884071016140927,3.279259455973471,69.81519507186859,6.465724076505383,10.4759497212403
1762,高松コンストラクショングループ,2026-08-01,https://boutetsuya.livedoor.blog/archives/30545659.html,1762高松コンストラクショングループ 2026,3715.0,0.88,10.3,3.88,分散枠,割安,100株 新米５kg（１年）,配当性向40%目安 累進配当,3880.0,11.8217,0.91737044,3.72,大きく上げた株価が一旦調整したが、 業績を考慮すれば割安圏内といえる。 下は3300円のラインが相当堅く見える。 上は4500円が節目だが、5000円突破も可能性としてあり。,10.961783791845109,9.609453920976193,7.84467404652347,92.1971252566735,7.3510662594132565,12.914031661628643
1768,ソネック,2022-10-27,https://boutetsuya.livedoor.blog/archives/16317874.html,1768ソネック 2022,956.0,,,3.14,監視銘柄,,100株 1000円クオカード,,1021.0,5.4555173,0.72598606,4.85,,6.394846252427087,5.411995714246296,-14.68884341152964,65.50308008213553,4.07802565043066,9.009520146057188
1775,富士古河Ｅ＆Ｃ,2024-08-05,https://boutetsuya.livedoor.blog/archives/25219341.html,1775富士古河Ｅ＆Ｃ 2024,5060.0,1.23,9.6,3.75,監視銘柄,,なし,配当性向30%,,,,,自分の高値予想をはるかに超え現在は下落中。 5000円を切るあたりからは少しずつ下げ止まりそうで 3800円あたりが鉄壁となりそう。,,,,,,
